what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1347080147151
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1347080147180
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1347080147277
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1347080147406
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1347080147409
started,bundle,org.eclipse.mylyn.java.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.ui",1347080147443
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1347080148533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347080148621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080152800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080155332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080157893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080159612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1347080167233
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1347080169254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080172255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080173960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080180802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080182384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347080185023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080188636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080190331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080194964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080196701
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1347080197821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080198575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080199291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347080200540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080206793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080207972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080210408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080211274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080215832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080217473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080222570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080223492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347080225999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080229150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080230111
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1347080232021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080237339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080237494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080243274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080245154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1347080246891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1347080247024
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1347080249353
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1347080251901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080253125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080253719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347080254607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080263780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080263926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080264204
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1347080266099
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1347080267745
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1347080267907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080268086
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1347080276578
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1347080279488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080279509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080280897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080282037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080293958
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347080293998
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1347080296004
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1347080296235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347080301655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080304594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080305475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080305672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080310925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080312408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080315318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347080321844
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1347080324798
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1347080328093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080334919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080340275
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1347080342796
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1347080342813
activated,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1347080344462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080346806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080361293
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1347080361340
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1347080362001
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1347080366126
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347080367137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080380554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080397907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080398670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080400424
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1347080405603
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1347080410298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1347080412253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347080418977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347080420991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080422515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080423133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080423305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080431869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347080436475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347080436594
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1347080441590
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1347080447829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080455337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080472621
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1347080475412
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1347080478691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080478711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080479914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080480591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347080481707
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1347080484307
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1347080485590
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1347080485768
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1347080486481
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1347080486675
